date,time,candidate,state,votes
11/8/2016,18:59,Trump,Indiana,11
11/8/2016,18:59,Trump,Kentucky,8
11/8/2016,18:59,Clinton,Vermont,3
11/8/2016,19:30,Trump,West Virginia,5
11/8/2016,20:00,Trump,Oklahoma,7
11/8/2016,20:00,Clinton,Delaware,3
11/8/2016,20:00,Clinton,Maryland,10
11/8/2016,20:00,Clinton,Massachusetts,11
11/8/2016,20:00,Clinton,New Jersey,14
11/8/2016,20:00,Clinton,District of Columbia,3
11/8/2016,20:09,Trump,South Carolina,9
11/8/2016,20:13,Trump,Tennessee,11
11/8/2016,20:26,Trump,Alabama,9
11/8/2016,20:39,Clinton,Rhode Island,4
11/8/2016,20:51,Trump,Mississippi,6
11/8/2016,20:58,Clinton,Illinois,20
11/8/2016,21:00,Trump,Kansas,6
11/8/2016,21:00,Trump,North Dakota,3
11/8/2016,21:00,Trump,South Dakota,3
11/8/2016,21:00,Trump,Texas,38
11/8/2016,21:00,Trump,Wyoming,3
11/8/2016,21:00,Clinton,New York,29
11/8/2016,21:00,Trump,Nebraska,5
11/8/2016,21:08,Trump,Arkansas,6
11/8/2016,21:26,Clinton,Connecticut,7
11/8/2016,21:28,Trump,Louisiana,8
11/8/2016,22:00,Trump,Montana,3
11/8/2016,22:21,Clinton,New Mexico,5
11/8/2016,22:25,Trump,Missouri,10
11/8/2016,22:36,Trump,Ohio,18
11/8/2016,22:40,Clinton,Virginia,13
11/8/2016,22:43,Clinton,Colorado,9
11/8/2016,22:50,Trump,Florida,29
11/8/2016,23:00,Trump,Idaho,4
11/8/2016,23:00,Clinton,California,55
11/8/2016,23:00,Clinton,Hawaii,4
11/8/2016,23:05,Clinton,Oregon,7
11/8/2016,23:11,Trump,North Carolina,15
11/8/2016,23:28,Clinton,Washington,12
11/8/2016,23:33,Trump,Georgia,16
11/8/2016,23:52,Trump,Utah,6
11/9/2016,00:02,Trump,Iowa,6
11/9/2016,00:20,Clinton,Nevada,6
11/9/2016,01:35,Trump,Pennsylvania,20
11/9/2016,01:56,Clinton,Maine,3
11/9/2016,01:56,Trump,Maine,1
11/9/2016,02:29,Trump,Wisconsin,10
11/9/2016,11:09,Clinton,Minnesota,10
11/9/2016,11:58,Trump,Alaska,3
11/10/2016,19:37,Trump,Arizona,11
11/15/2016,17:02,Clinton,New Hampshire,4
11/28/2016,14:28,Trump,Michigan,16
